,V1,V2,angles,r,assigned_phase,gene_biotype,gene_symbols
ENSG00000113810,6.6400167577146,2.15029666048904,1.257614833304991,6.9795127531111385,G2,protein_coding,SMC4
ENSG00000126787,2.9755009810515998,5.99581175562533,0.4606537366865673,6.693531556445666,G2/M,protein_coding,DLGAP5
ENSG00000075218,4.53225408727481,4.83987639329529,0.7525868506267835,6.630665925380063,G2/M,protein_coding,GTSE1
ENSG00000087586,4.33559447567996,5.001563924097191,0.7141941046260856,6.619140514022729,G2/M,protein_coding,AURKA
ENSG00000101057,6.56342638893235,-0.368960450820697,1.6269518339572806,6.573788692770962,S,protein_coding,MYBL2
ENSG00000012048,5.442302088463251,-3.67135833696819,2.1642687911458434,6.564870452683533,S,protein_coding,BRCA1
ENSG00000119403,5.65821709811613,3.17714205044775,1.0591596932862175,6.489195045468818,G2,protein_coding,PHF19
ENSG00000137804,4.78996994396432,4.27031514432553,0.8426906319912291,6.417118005455216,G2,protein_coding,NUSAP1
ENSG00000167900,6.40671688671263,0.29226671430704804,1.52520913614725,6.413379849874839,S,protein_coding,TK1
ENSG00000104738,4.91867271801926,-4.09918269085697,2.2655692485840118,6.402861863261487,S,protein_coding,MCM4
ENSG00000128951,5.2764169870944695,-3.25290319444846,2.123258837569086,6.198544620647017,S,protein_coding,DUT
ENSG00000131153,4.47484406588078,-4.16290793694033,2.320097062264108,6.1117944914230575,S,protein_coding,GINS2
ENSG00000166851,3.591821145969,4.92486804990563,0.6301361810239922,6.095531515266847,G2/M,protein_coding,PLK1
ENSG00000108106,4.17006360379565,4.3825415935412,0.7605596157615179,6.049471156954119,G2/M,protein_coding,UBE2S
ENSG00000072571,3.4919077916178,4.90689933934421,0.6184902527984271,6.022547729293454,G2/M,protein_coding,HMMR
ENSG00000157456,2.87772449806661,5.14803620716523,0.5097226248211635,5.89776017459653,G2/M,protein_coding,CCNB2
ENSG00000138180,4.51733053570535,3.7386554281102504,0.8794364081690148,5.863771787762055,G2,protein_coding,CEP55
ENSG00000076003,4.20444375520054,-3.9944972501575897,2.330593545387117,5.799427176209851,S,protein_coding,MCM6
ENSG00000162607,5.15268085361872,-2.59468901294663,2.037288658973966,5.769101407771829,S,protein_coding,USP1
ENSG00000134690,4.36674922380449,3.75413028167659,0.860693061276395,5.758645062460289,G2,protein_coding,CDCA8
ENSG00000094804,4.3270754517632,-3.76223485617619,2.2864820833592048,5.733933473478636,S,protein_coding,CDC6
ENSG00000100526,2.9225667601845498,4.92095834406905,0.5359235752933867,5.723393005184811,G2/M,protein_coding,CDKN3
ENSG00000168496,4.51685091501997,-3.4865378546026404,2.228164055931512,5.705952015228828,S,protein_coding,FEN1
ENSG00000186193,4.2494419153542795,3.7638858594209905,0.845917728139485,5.676670974675134,G2,protein_coding,SAPCD2
ENSG00000011426,4.39440726459729,3.56211836651474,0.8896236815604246,5.65681027295481,G2,protein_coding,ANLN
ENSG00000123975,4.59044616122433,3.27563034936036,0.9510172130909917,5.639321780564562,G2,protein_coding,CKS2
ENSG00000100297,3.99095725695596,-3.96670359664545,2.3531466617340637,5.6269420870033295,S,protein_coding,MCM5
ENSG00000164611,0.563611739177575,5.550159013067371,0.10120183722052531,5.578702650515776,M/G1,protein_coding,PTTG1
ENSG00000101412,3.9670989564854504,-3.9222041610873504,2.3505039608601943,5.578670057621159,S,protein_coding,E2F1
ENSG00000168078,4.69507035025599,2.9581281614123,1.0085739293250242,5.549252905859799,G2,protein_coding,PBK
ENSG00000167325,5.1322445526911,-1.8596943230762,1.9184351234570203,5.458790811517631,S,protein_coding,RRM1
ENSG00000167513,4.38296200392869,-3.2287870183997405,2.205710089077798,5.443842534283048,S,protein_coding,CDT1
ENSG00000112118,3.4239435589040603,-4.22246049920959,2.4602477137480125,5.436226831355173,S,protein_coding,MCM3
ENSG00000101224,4.3855763908743,3.2013681456463097,0.9402338345178506,5.429736483859318,G2,protein_coding,CDC25B
ENSG00000101447,3.38192104286405,4.22146367984298,0.6754266788905876,5.40907991625194,G2/M,protein_coding,FAM83D
ENSG00000132780,4.65839108570491,-2.62198498383299,2.0834531813977692,5.345597512235714,S,protein_coding,NASP
ENSG00000077152,5.31728971241021,0.22748642679337602,1.5280399980503598,5.322153695646027,S,protein_coding,UBE2T
ENSG00000136108,3.63323526039302,3.8645124851053305,0.7545617146694958,5.304229935145922,G2/M,protein_coding,CKAP2
ENSG00000138182,3.4191172811535098,3.89955445599423,0.719846810378369,5.18622096883145,G2/M,protein_coding,KIF20B
ENSG00000173207,5.04929757503723,1.15809748842298,1.3453376379607773,5.18040498358656,G2,protein_coding,CKS1B
ENSG00000167670,4.2569404411329,-2.93929584474639,2.175098624518051,5.173103708828595,S,protein_coding,CHAF1A
ENSG00000068489,2.9047712092913995,4.26808176204441,0.5975731792575745,5.162772288782873,G2/M,protein_coding,PRR11
ENSG00000188486,4.709153169316799,2.03921814799558,1.1621414817477314,5.131718447771759,G2,protein_coding,H2AFX
ENSG00000115163,3.0375324440836398,4.123895042613641,0.6348495823920042,5.121827180933977,G2/M,protein_coding,CENPA
ENSG00000166508,3.99522809888509,-3.17611453165084,2.242466963509174,5.103876083946846,S,protein_coding,MCM7
ENSG00000144354,3.64772576537218,-3.5612026693219705,2.3441928532566556,5.097849322150076,S,protein_coding,CDCA7
ENSG00000176890,4.99073309171204,-1.0371082701001,1.7756870313788808,5.097353269748885,S,protein_coding,TYMS
ENSG00000146670,5.0862942890209695,-0.0488494701562174,1.5804001691040632,5.08652886212807,S,protein_coding,CDCA5
ENSG00000228716,4.17767980351176,-2.8916147663480802,2.1762398348294876,5.080791719568154,S,protein_coding,DHFR
ENSG00000120802,4.863096136315701,1.42808735809035,1.2851679369931532,5.068445277734206,G2,protein_coding,TMPO
ENSG00000111206,4.27782959256762,2.59207327429012,1.026026571307076,5.001866639799221,G2,protein_coding,FOXM1
ENSG00000170312,4.5406840709909,2.08514931836431,1.140305849575031,4.996564771162848,G2,protein_coding,CDK1
ENSG00000137807,4.219388102029161,2.6605895026040898,1.0082067376344968,4.988183282209298,G2,protein_coding,KIF23
ENSG00000198826,4.09703091589038,2.83629939933676,0.9652692553351485,4.9829967497922,G2,protein_coding,ARHGAP11A
ENSG00000073111,3.76661907484671,-3.24546457094217,2.2820085403812027,4.971967370793973,S,protein_coding,MCM2
ENSG00000138778,3.0819391548125803,3.8376426868791,0.6766169738698081,4.921976264278762,G2/M,protein_coding,CENPE
ENSG00000094916,4.86902878518056,0.0973604015553684,1.5508031345272832,4.870002090215968,S,protein_coding,CBX5
ENSG00000182481,2.93848530079848,3.84066162067503,0.6530944681722273,4.835843002779854,G2/M,protein_coding,KPNA2
ENSG00000203760,4.3041222677989195,2.19278586691137,1.09960796296211,4.830504979222024,G2,protein_coding,CENPW
ENSG00000114346,3.65766543945257,3.11547013198217,0.8652786825490686,4.804650935316609,G2,protein_coding,ECT2
ENSG00000142945,3.1322322820561497,3.6170824355733697,0.7136844093213247,4.7847846779649394,G2/M,protein_coding,KIF2C
ENSG00000013810,3.78301940886652,2.90237092341057,0.9163713945127049,4.768122568151948,G2,protein_coding,TACC3
ENSG00000145386,3.7612862597750496,2.88733360527628,0.9160975585478273,4.74172644467501,G2,protein_coding,CCNA2
ENSG00000161800,3.2770415715110297,3.3908665541037406,0.7683292527259414,4.715609976360519,G2/M,protein_coding,RACGAP1
ENSG00000198901,3.44251037790706,3.1847282336922,0.8242759326504607,4.689709119388328,G2,protein_coding,PRC1
ENSG00000118193,3.0153209061559396,3.55512733343296,0.7034255509394425,4.661661777094433,G2/M,protein_coding,KIF14
ENSG00000170540,2.11708355419125,4.15131475262151,0.4715989421328792,4.659984651343827,G2/M,protein_coding,ARL6IP1
ENSG00000133119,4.17349145025083,-1.88230162021003,1.9944928868674174,4.57832832754075,S,protein_coding,RFC3
ENSG00000111665,2.91657050656366,3.45469052702264,0.7011376233460328,4.521202291123123,G2/M,protein_coding,CDCA3
ENSG00000197061,4.50445042514322,-0.18457502695975897,1.6117495642055395,4.508230425915486,S,protein_coding,HIST1H4C
ENSG00000112984,2.2826748228220897,3.88362419009637,0.5313777478450867,4.50479091597463,G2/M,protein_coding,KIF20A
ENSG00000109881,4.398645226543951,0.8993966485790129,1.3691051730132373,4.489654124815524,S,protein_coding,CCDC34
ENSG00000161981,4.23432454469891,-1.4117694114289998,1.8926165735396974,4.463473672027899,S,protein_coding,SNRNP25
ENSG00000024526,3.06056166920482,3.24179623752975,0.7566494571434486,4.458282245065675,G2/M,protein_coding,DEPDC1
ENSG00000117650,2.7627617580443,3.46157706006311,0.6735949387202308,4.428924053815689,G2/M,protein_coding,NEK2
ENSG00000112312,3.49708736126315,-2.604461758258,2.210930053395441,4.36037166564214,S,protein_coding,GMNN
ENSG00000065328,3.31234580475981,-2.83356775900176,2.278449654975473,4.3589839383925435,S,protein_coding,MCM10
ENSG00000175216,2.27781385982477,3.6941732580312205,0.5525334269334272,4.3399714331275066,G2/M,protein_coding,CKAP5
ENSG00000276043,3.8464318781739903,-1.96514665490395,2.043126813588181,4.319356383619356,S,protein_coding,UHRF1
ENSG00000168393,4.0180881289151795,1.37542804830558,1.2409894691188512,4.246979459309261,G2,protein_coding,DTYMK
ENSG00000169607,3.17924540373915,2.7850838073074002,0.8513886977630635,4.226617223137482,G2,protein_coding,CKAP2L
ENSG00000092470,3.39375412699413,-2.4572887394201,2.197489480455516,4.189968379757837,S,protein_coding,WDR76
ENSG00000143476,2.96739489177903,-2.95128117376744,2.353471976234654,4.185151491928386,S,protein_coding,DTL
ENSG00000168061,4.10864030827432,-0.6063196523654389,1.7173107141111694,4.153137212231381,S,protein_coding,SAC3D1
ENSG00000130816,3.1308576022890895,-2.6761716202667403,2.278054674491748,4.118757563505346,S,protein_coding,DNMT1
ENSG00000160298,4.07244420371104,0.609411557267948,1.4222558324929557,4.117788755930954,S,protein_coding,C21orf58
ENSG00000163535,3.01554008084088,2.7990520679148596,0.8226128222855174,4.114386279635916,G2,protein_coding,SGO2
ENSG00000163950,2.6807348057919,-3.1091237133757503,2.4300494440938625,4.105239257833769,S,protein_coding,SLBP
ENSG00000162063,2.9268098587052704,2.87638512461056,0.7940870779104509,4.103633430765384,G2/M,protein_coding,CCNF
ENSG00000123485,3.3027628451568196,2.4284897245033,0.9367760376562607,4.099488352632129,G2,protein_coding,HJURP
ENSG00000138376,3.89860406484225,-1.24671363633269,1.8803038893332653,4.09309278485382,S,protein_coding,BARD1
ENSG00000164649,3.05756092425957,-2.7012015005173,2.2943920451593427,4.079849059947677,S,protein_coding,CDCA7L
ENSG00000166451,3.7821921140539803,1.52372850071596,1.1878189990838268,4.077588224858688,G2,protein_coding,CENPN
ENSG00000138160,3.2310034281427003,2.4779872710447406,0.916541184066673,4.071830554938361,G2,protein_coding,KIF11
ENSG00000136824,3.9759884414931,0.47348855165655895,1.452267533185889,4.004082353728074,S,protein_coding,SMC2
ENSG00000072501,3.74564327750113,-1.3929250955351,1.9268277442156645,3.996258735875453,S,protein_coding,SMC1A
ENSG00000122952,3.9715027515565597,0.29310201358416305,1.497128593251947,3.9823037171954145,S,protein_coding,ZWINT
ENSG00000105011,3.69100379535918,-1.4671886683849498,1.9491491051378922,3.971920392705911,S,protein_coding,ASF1B
ENSG00000010292,2.6076125607786,2.96324414319622,0.721646808702172,3.947209029088405,G2/M,protein_coding,NCAPD2
ENSG00000076248,2.65658935737139,-2.8611539542842204,2.3932514787770436,3.904314147685245,S,protein_coding,UNG
ENSG00000100162,3.85366610156672,-0.594381163716606,1.7238282696053306,3.8992347185243346,S,protein_coding,CENPM
ENSG00000137310,3.54045225158111,-1.6176030528460699,1.9993665458336862,3.892485296350222,S,protein_coding,TCF19
ENSG00000198830,3.4253664770465497,1.7950346793208,1.0881009051561426,3.8672063562782135,G2,protein_coding,HMGN2
ENSG00000090889,2.39999567030687,3.0178051990107995,0.6718553566697955,3.855791415088261,G2/M,protein_coding,KIF4A
ENSG00000176619,3.59000352042938,1.4017822931801,1.198533909560765,3.8539744257284063,G2,protein_coding,LMNB2
ENSG00000184992,3.19947648130666,-2.0946896113940703,2.1504668253194756,3.8241828306864054,S,protein_coding,BRI3BP
ENSG00000116062,2.13659241553371,-3.1712601819649304,2.5487117938546677,3.823861698836978,S,protein_coding,MSH6
ENSG00000161980,3.05087679555898,-2.2669264768688797,2.2098287640908287,3.8008952725916276,S,protein_coding,POLR3K
ENSG00000070814,3.7717369785539705,-0.20500644903699697,1.6250962222734708,3.7773042609165324,S,protein_coding,TCOF1
ENSG00000123416,3.74238585738241,0.48302753066060705,1.44243655680731,3.7734291434863274,S,protein_coding,TUBA1B
ENSG00000169689,2.28284047759312,-3.0027149940471696,2.4915581823075867,3.7719567841656505,S,protein_coding,CENPX
ENSG00000163923,3.7586931138557005,-0.087389832752795,1.5940421967229272,3.7597088859398173,S,protein_coding,RPL39L
ENSG00000134291,3.7421681150426602,-0.31654355243302396,1.6551837173222967,3.7555321888953177,S,protein_coding,TMEM106C
ENSG00000142856,3.71248630996848,0.443927868421635,1.4517844453205133,3.738933879338435,S,protein_coding,ITGB3BP
ENSG00000111247,3.7164781971105803,0.169753900552922,1.5251520402680303,3.72035301770561,S,protein_coding,RAD51AP1
ENSG00000129195,2.25582228886136,2.95437872561121,0.6521182286023051,3.7171343604002023,G2/M,protein_coding,PIMREG
ENSG00000127564,3.49373022666519,-1.26694364889225,1.918681311627024,3.716355352517088,S,protein_coding,PKMYT1
ENSG00000109084,3.4484557965408498,-1.34625860786706,1.942994881657445,3.701926474141854,S,protein_coding,TMEM97
ENSG00000091651,3.5131951239955597,-1.15587102777853,1.8886494864846197,3.698456139002323,S,protein_coding,ORC6
ENSG00000079616,2.92410468431033,2.19322805953776,0.9272624875435606,3.6552205851288075,G2,protein_coding,KIF22
ENSG00000049541,2.72549178913803,-2.4060130387544905,2.2940164465784307,3.635547308908995,S,protein_coding,RFC2
ENSG00000167553,2.43611487787779,2.67815159963861,0.7381076543410826,3.620380047572957,G2/M,protein_coding,TUBA1C
ENSG00000121957,2.2823630056046604,2.7572819311014904,0.6914390590332049,3.57935532420735,G2/M,protein_coding,GPSM2
ENSG00000100242,0.8267317363012159,3.46603574760738,0.23414863532280364,3.56326944918566,M/G1,protein_coding,SUN2
ENSG00000163781,3.15436648036848,-1.61551634190034,2.0441185192882263,3.5439978757639357,S,protein_coding,TOPBP1
ENSG00000117139,-3.06353201722009,1.69405710493904,5.217513512638996,3.5007224819067044,G1,protein_coding,KDM5B
ENSG00000140451,1.83201656284151,2.98003897783617,0.5512037087317607,3.4981305001312437,G2/M,protein_coding,PIF1
ENSG00000213551,3.34820693727229,-1.00570402219279,1.8625933867017948,3.4959877395455843,S,protein_coding,DNAJC9
ENSG00000128944,2.72989984735465,2.17194295921628,0.8987363051578158,3.4885081904269786,G2,protein_coding,KNSTRN
ENSG00000129810,3.18482104850499,1.39123031753779,1.1589470819191292,3.4754290249459454,G2,protein_coding,SGO1
ENSG00000100401,2.77199327020806,2.06617566706646,0.9302615207071852,3.4573152267700884,G2,protein_coding,RANGAP1
ENSG00000143401,2.56171927777887,2.27673516698277,0.8442300163635218,3.4272333855049846,G2,protein_coding,ANP32E
ENSG00000117632,3.20112181918006,1.1865419931553998,1.2158321118916937,3.413951200991579,G2,protein_coding,STMN1
ENSG00000116237,3.15945180177689,-1.28308562568831,1.9565590005016646,3.4100504997139263,S,protein_coding,ICMT
ENSG00000151725,3.33672638478108,-0.590580254251567,1.7459759984519634,3.388587907020572,S,protein_coding,CENPU
ENSG00000182628,3.18006520066242,1.1499083015668001,1.2238259492197443,3.381583029067357,G2,protein_coding,SKA2
ENSG00000172336,3.11178669378798,-1.32058348122049,1.9721426493557341,3.3804078390792367,S,protein_coding,POP7
ENSG00000139734,3.27573180522846,0.7867883263529499,1.3350745002655444,3.368895179472134,G2,protein_coding,DIAPH3
ENSG00000245694,1.86532136792885,2.7998488102184598,0.5876948163827325,3.36430931481243,G2/M,lincRNA,CRNDE
ENSG00000131462,3.3229740389166005,-0.214826609699585,1.6353553837221904,3.3299109500929185,S,protein_coding,TUBG1
ENSG00000167747,2.2592098392985003,-2.4431280572103904,2.3952866449208896,3.327597301644502,S,protein_coding,C19orf48
ENSG00000113368,3.1186951252716297,1.15135575870322,1.2171390187656577,3.324436699275848,G2,protein_coding,LMNB1
ENSG00000185262,1.83128029961459,2.76297075043734,0.5853166982001581,3.314754124143868,G2/M,protein_coding,UBALD2
ENSG00000154839,2.84138197414482,1.6914132524238799,1.0338558405341252,3.30670989254731,G2,protein_coding,SKA1
ENSG00000106268,3.26894920812658,0.27101183403455803,1.4880806108186284,3.280164072039411,S,protein_coding,NUDT1
ENSG00000198168,2.8387498875909,-1.61797731027474,2.088835574278148,3.2674686686885352,S,protein_coding,SVIP
ENSG00000143815,2.61999111231577,1.9333505417461698,0.9350696955746338,3.2561016178681887,G2,protein_coding,LBR
ENSG00000278259,2.55700844081489,-2.00151028862948,2.234933008922384,3.247204274739774,S,protein_coding,MYO19
ENSG00000175643,2.53803365535797,-1.99335090177219,2.2365661608089322,3.227237619594464,S,protein_coding,RMI2
ENSG00000166965,2.66165917268607,1.79302417592874,0.9779753301713624,3.2092624147939093,G2,protein_coding,RCCD1
ENSG00000116830,3.16906836077168,0.422719477725284,1.438189908926486,3.1971371619141458,S,protein_coding,TTF2
ENSG00000126453,3.15544550049129,0.26728542668058997,1.4862919687457805,3.1667456174891204,S,protein_coding,BCL2L12
ENSG00000217555,3.1164796866598796,0.47047510629074796,1.4209640809769402,3.1517919447518983,S,protein_coding,CKLF
ENSG00000185347,3.11166379117329,0.4979418697934829,1.41211735565352,3.1512533466848334,S,protein_coding,TEDC1
ENSG00000152253,2.59399254696084,1.78419898585006,0.9682919719617383,3.148358835138836,G2,protein_coding,SPC25
ENSG00000140525,3.1112914256089197,0.47412191679577903,1.4195722392933363,3.1472092283567177,S,protein_coding,FANCI
ENSG00000141905,1.77218562657354,-2.59641626790526,2.542673905965699,3.14356793011968,S,protein_coding,NFIC
ENSG00000136861,2.69596005784419,1.6037255847365002,1.034162951168228,3.136899167112274,G2,protein_coding,CDK5RAP2
ENSG00000154473,3.01745764047548,0.832588994364855,1.3015712797309569,3.130216453474317,G2,protein_coding,BUB3
ENSG00000124795,3.0934359000752902,0.248585438492928,1.49060962687913,3.103407866862708,S,protein_coding,DEK
ENSG00000109685,3.0861593590467598,0.281508850569689,1.4798314959188472,3.0989718976429868,S,protein_coding,NSD2
ENSG00000101003,3.0524828226624,-0.453145656109406,1.7181715067910264,3.0859346020776,S,protein_coding,GINS1
ENSG00000165724,2.56402659338407,-1.7034910658355702,2.1572150149900136,3.0783297716395377,S,protein_coding,ZMYND19
ENSG00000137812,2.4162923144144397,1.90707954879281,0.9026394073280801,3.0782171713708046,G2,protein_coding,KNL1
ENSG00000065911,2.93264157681529,-0.930230275479764,1.877956172377205,3.0766402102756225,S,protein_coding,MTHFD2
ENSG00000188229,2.4564027300065097,1.8513272734021398,0.9249478972438742,3.0759270220904193,G2,protein_coding,TUBB4B
ENSG00000095002,2.2800589232677404,-2.04952217451753,2.3029978325030065,3.0658130793334273,S,protein_coding,MSH2
ENSG00000124766,-3.0140284638557007,0.35528904152149393,4.829725963489437,3.0348966842312137,G1,protein_coding,SOX4
ENSG00000148019,2.97929910814975,-0.5477780467438049,1.7526269292963788,3.0292381821699585,S,protein_coding,CEP78
ENSG00000123219,2.97728308000104,0.0315757056875212,1.5601911807384927,2.9774505140556315,S,protein_coding,CENPK
ENSG00000163918,2.54844345967247,-1.49919280739396,2.1025520002307654,2.956711541711361,S,protein_coding,RFC4
ENSG00000213024,2.77830017755229,-0.9790538518952909,1.9096015036567742,2.945759379429707,S,protein_coding,NUP62
ENSG00000125520,2.6966027997917497,-1.14937713058849,1.97370962655449,2.9313366316689957,S,protein_coding,SLC2A4RG
ENSG00000109971,2.59136656901833,-1.36198539659072,2.0547024209287863,2.927487816465205,S,protein_coding,HSPA8
ENSG00000119333,2.8703183930234104,-0.5525518893861401,1.7609752977589477,2.9230192041436687,S,protein_coding,WDR34
ENSG00000179958,1.22117473140261,-2.62501941453824,2.706165633288338,2.8951674651596444,S,protein_coding,DCTPP1
ENSG00000237649,2.13416927909722,1.9556704194633099,0.8290149466777277,2.894706427499367,G2,protein_coding,KIFC1
ENSG00000134222,1.65069451695636,2.36964191238354,0.6084409955812246,2.887904981337598,G2/M,protein_coding,PSRC1
ENSG00000101335,-2.8410197949457503,-0.49846272861158103,4.538704736599463,2.884416503747074,G1,protein_coding,MYL9
ENSG00000213347,1.97443201187668,2.09476185204777,0.7558358498655019,2.8786123369286805,G2/M,protein_coding,MXD3
ENSG00000181218,-1.81658629790314,2.21909747973097,5.597196421200121,2.867817881644122,G1,protein_coding,HIST3H2A
ENSG00000093009,2.37441640219109,-1.59870424574164,2.1633799951819506,2.8624654611621825,S,protein_coding,CDC45
ENSG00000173456,1.70623934245538,2.2957084657816003,0.6391541934074652,2.860337402056596,G2/M,protein_coding,RNF26
ENSG00000185361,1.2724308119442902,2.5614994346374598,0.4610460991658012,2.8601327809794483,G2/M,protein_coding,TNFAIP8L1
ENSG00000184661,1.9706833146311298,2.06699388227739,0.761549721969712,2.855881026222502,G2/M,protein_coding,CDCA2
ENSG00000148229,2.46556732960499,-1.4099919000736,2.090277564945586,2.8402639692621254,S,protein_coding,POLE3
ENSG00000006634,2.53780377240992,1.27527686596922,1.105141132460351,2.8402075755363896,G2,protein_coding,DBF4
ENSG00000135451,1.58984325478351,2.35338234316434,0.5941320285773383,2.8400721870928396,G2/M,protein_coding,TROAP
ENSG00000108055,2.74890730262343,-0.6931968303639029,1.8178179654546016,2.834962645969605,S,protein_coding,SMC3
ENSG00000158373,-2.58565826829051,1.08861965006121,5.1108856154283675,2.8054806046163407,G1,protein_coding,HIST1H2BD
ENSG00000089280,2.7918744831555897,-0.20511726493407603,1.6441339355170699,2.7993992609253375,S,protein_coding,FUS
ENSG00000128245,2.74503909612374,-0.544363669638492,1.7665645954867262,2.7984944959871054,S,protein_coding,YWHAH
ENSG00000077514,1.92946325840776,-2.01644011889959,2.3782332402523862,2.7908527762412123,S,protein_coding,POLD3
ENSG00000136527,2.7727699548277998,-0.251922375187767,1.6614034106960713,2.78419074517462,S,protein_coding,TRA2B
ENSG00000143228,1.96066273711501,1.9636293513561398,0.784642201912133,2.7748943400098423,G2/M,protein_coding,NUF2
ENSG00000143799,2.68421864579136,-0.676731629080553,1.8177645311891957,2.7682115952744692,S,protein_coding,PARP1
ENSG00000164754,0.728486969016734,2.66816915839727,0.2665326609632408,2.7658307832999447,M/G1,protein_coding,RAD21
ENSG00000184207,2.7604524907898904,-0.0577085570521107,1.5916987522092885,2.7610556371549535,S,protein_coding,PGP
ENSG00000162073,1.7750833243434099,-2.11426505187498,2.44318227009969,2.7606226685191806,S,protein_coding,PAQR4
ENSG00000135069,2.75115738519416,0.160963436334261,1.512355414920853,2.7558621493000883,S,protein_coding,PSAT1
ENSG00000164032,2.7553035103588503,-0.036763647388008,1.5841384017350295,2.7555487656663007,S,protein_coding,H2AFZ
ENSG00000180385,2.50768232346329,-1.13207476919046,1.9948493191667973,2.7513749141925166,S,transcribed_unprocessed_pseudogene,EMC3-AS1
ENSG00000166197,2.06806618034545,-1.8037122320858703,2.288023153981674,2.744134752971292,S,protein_coding,NOLC1
ENSG00000169679,1.82137137392459,2.04769767918623,0.726968427042166,2.740521750889166,G2/M,protein_coding,BUB1
ENSG00000006625,2.00026932607151,-1.87251545405025,2.3232188487106855,2.7399619527430645,S,protein_coding,GGCT
ENSG00000106399,2.7281008446321,-0.245802519716775,1.6606539269920784,2.739151893776884,S,protein_coding,RPA3
ENSG00000131470,2.26889646147315,-1.52405662913547,2.162287262505792,2.7332471095195827,S,protein_coding,PSMC3IP
ENSG00000160957,2.7181680978364904,-0.21659615522497896,1.6503129168232775,2.7267841320050046,S,protein_coding,RECQL4
ENSG00000151503,2.7013566006722005,-0.33995736679259697,1.6959851096749243,2.722663860125194,S,protein_coding,NCAPD3
ENSG00000105968,2.55694106344601,0.874549025307989,1.2412398330043684,2.7023662963417014,G2,protein_coding,H2AFV
ENSG00000213186,1.8368195848845401,1.97801502930847,0.7484028446133644,2.6993424465201894,G2/M,protein_coding,TRIM59
ENSG00000163507,2.51208257496266,0.9754684036342192,1.20040741809011,2.694827911002801,G2,protein_coding,CIP2A
ENSG00000137497,2.10096749181253,1.6709133578071398,0.8989237598879324,2.6844023265806047,G2,protein_coding,NUMA1
ENSG00000170779,2.5283644823724503,-0.900238218450322,1.9128556309389457,2.6838509283641514,S,protein_coding,CDCA4
ENSG00000187741,2.4586242933323397,-1.06499970170721,1.9795657511056373,2.679376379010682,S,protein_coding,FANCA
ENSG00000149554,2.36231043395298,-1.2522880259825602,2.058241982961162,2.6737120051311463,S,protein_coding,CHEK1
ENSG00000132383,2.53247357090542,-0.852953599536969,1.895669481560035,2.6722560188532687,S,protein_coding,RPA1
ENSG00000092140,1.14805020739357,2.40803383894335,0.44488200326358723,2.6677043029902445,G2/M,protein_coding,G2E3
ENSG00000189057,2.24045010601725,-1.44785068366674,2.1445181685804275,2.667562235402757,S,protein_coding,FAM111B
ENSG00000148362,2.55584206557357,-0.7617584183047651,1.8604594671445338,2.6669466721352997,S,protein_coding,PAXX
ENSG00000149503,1.76420639343529,1.9945051606644397,0.7242039952585457,2.6627945911307234,G2/M,protein_coding,INCENP
ENSG00000127483,1.49747682283286,2.19824878923444,0.5980060124061449,2.6598373210202686,G2/M,protein_coding,HP1BP3
ENSG00000147676,2.62151867237982,0.41311533978173703,1.4144954312497067,2.6538697092357477,S,protein_coding,MAL2
ENSG00000167799,2.19538165790489,-1.48631052998054,2.165930302560229,2.65119211212546,S,protein_coding,NUDT8
