,assigned_phase,gene_biotype,gene_symbol,curated,mean_loading,mean_correlation,mean_peaktime,rank
ENSG00000112118,not_assigned,protein_coding,MCM3,automatic,3.1642718621938144,0.9053219504964077,14.910910910910909,68
ENSG00000131470,not_assigned,protein_coding,PSMC3IP,automatic,2.1307579851889638,0.9025398511026074,14.734734734734735,72
ENSG00000204356,not_assigned,protein_coding,NELFE,automatic,1.703634765343139,0.9017977904218811,21.805805805805807,73
ENSG00000116489,not_assigned,protein_coding,CAPZA1,automatic,1.4342994572413608,0.9010183078035542,21.093093093093092,74
ENSG00000168078,not_assigned,protein_coding,PBK,automatic,2.8732580529877993,0.8994906608230169,21.58958958958959,75
ENSG00000166803,not_assigned,protein_coding,PCLAF,automatic,4.014870960044279,0.8986729604485134,14.630630630630629,76
ENSG00000006634,not_assigned,protein_coding,DBF4,automatic,2.3789380290338755,0.8974032099392781,21.773773773773772,78
ENSG00000154640,not_assigned,protein_coding,BTG3,automatic,1.6960141766965204,0.8940198073682311,14.742742742742742,81
ENSG00000100749,not_assigned,protein_coding,VRK1,automatic,1.8987929147843914,0.8920443772509915,18.546546546546548,82
ENSG00000102977,S,protein_coding,ACD,automatic,1.8233557175455601,0.8916800266889747,16.136136136136134,83
ENSG00000077152,S,protein_coding,UBE2T,automatic,2.9062979747809945,0.8911394399707224,18.594594594594593,84
ENSG00000127483,not_assigned,protein_coding,HP1BP3,automatic,1.936508388298872,0.8883919812421673,21.997997997998,86
ENSG00000129810,not_assigned,protein_coding,SGO1,automatic,2.1041449671162282,0.8876163698863652,22.118118118118115,87
ENSG00000112983,not_assigned,protein_coding,BRD8,automatic,1.551642481159087,0.8869757756933868,21.541541541541537,88
ENSG00000167670,not_assigned,protein_coding,CHAF1A,automatic,3.4416753196952077,0.8845177898676647,13.509509509509508,89
ENSG00000167799,S,protein_coding,NUDT8,automatic,2.0569234806252905,0.8828735304596594,13.821821821821821,90
ENSG00000188690,S,protein_coding,UROS,automatic,1.3417765853688957,0.8826217632262362,14.390390390390388,91
ENSG00000213551,S,protein_coding,DNAJC9,automatic,2.6230238182410215,0.8820595142745516,15.735735735735735,92
ENSG00000163918,not_assigned,protein_coding,RFC4,automatic,2.4053097619161057,0.8739038579499773,14.790790790790789,93
ENSG00000134049,not_assigned,protein_coding,IER3IP1,automatic,1.377504919102769,0.8697306959360351,16.816816816816818,94
ENSG00000153048,S,protein_coding,CARHSP1,automatic,2.4567550213063014,0.8665576251336127,15.75175175175175,95
ENSG00000100243,S,protein_coding,CYB5R3,automatic,1.2042273000253747,0.8652654103767755,13.893893893893894,97
ENSG00000164985,not_assigned,protein_coding,PSIP1,automatic,1.7914867325738786,0.8558826963131395,19.13113113113113,98
ENSG00000121957,G2/M,protein_coding,GPSM2,automatic,2.1315165915236562,0.8547356964258178,22.134134134134133,99
ENSG00000103202,not_assigned,protein_coding,NME4,automatic,1.6292660035719317,0.852042770695177,11.93993993993994,100
ENSG00000167513,not_assigned,protein_coding,CDT1,automatic,2.9713472189433516,0.8508708608303782,13.845845845845846,101
ENSG00000159593,not_assigned,protein_coding,NAE1,automatic,1.2500760130623974,0.8497933216676273,17.505505505505507,103
ENSG00000126749,not_assigned,protein_coding,EMG1,automatic,1.443803771058283,0.8472568133515673,16.48848848848849,105
ENSG00000105355,not_assigned,protein_coding,PLIN3,automatic,1.330442734745649,0.8302005489875796,23.53553553553554,108
ENSG00000141030,not_assigned,protein_coding,COPS3,automatic,1.669656232176939,0.8298056716408991,19.163163163163166,109
ENSG00000115355,not_assigned,protein_coding,CCDC88A,automatic,1.5130045639665592,0.8265901017582062,22.334334334334333,110
ENSG00000125944,not_assigned,protein_coding,HNRNPR,automatic,1.3609474036101987,0.8264978723996778,20.036036036036037,111
ENSG00000108384,not_assigned,protein_coding,RAD51C,automatic,1.7255600081159699,0.8249964869974867,18.754754754754757,112
ENSG00000131351,S,protein_coding,HAUS8,automatic,1.3819210612062243,0.8225569179180728,13.157157157157156,113
ENSG00000081870,S,protein_coding,HSPB11,automatic,1.5378489950553689,0.8172127832378573,12.972972972972974,114
ENSG00000179958,S,protein_coding,DCTPP1,automatic,2.1297948999121443,0.8091917196970245,13.269269269269268,115
ENSG00000128951,S,protein_coding,DUT,automatic,2.9849239912346044,0.806758971759168,13.773773773773774,116
ENSG00000170638,not_assigned,protein_coding,TRABD,automatic,1.2518566376431057,0.8024760145454358,24.47247247247247,118
ENSG00000198826,not_assigned,protein_coding,ARHGAP11A,automatic,2.53403572791311,0.7976608213404831,22.31031031031031,119
ENSG00000087087,not_assigned,protein_coding,SRRT,automatic,1.3453448974600726,0.7883931911318172,19.33933933933934,121
ENSG00000119640,not_assigned,protein_coding,ACYP1,automatic,1.8924873317617343,0.7834410891961978,14.006006006006006,122
ENSG00000079616,not_assigned,protein_coding,KIF22,automatic,2.130206346686473,0.7761355036623986,21.94994994994995,123
ENSG00000113456,not_assigned,protein_coding,RAD1,automatic,1.941777042816188,0.7655629139127514,17.785785785785784,124
ENSG00000188486,not_assigned,protein_coding,H2AFX,automatic,2.751126589474651,0.7610699627230714,21.653653653653652,125
ENSG00000121644,not_assigned,protein_coding,DESI2,automatic,1.4514881175764518,0.7567754375879234,22.75875875875876,126
ENSG00000179409,not_assigned,protein_coding,GEMIN4,automatic,1.471148562375351,0.7317379508238885,13.517517517517518,129
ENSG00000105011,not_assigned,protein_coding,ASF1B,automatic,2.4573014397878006,0.7292969961443068,13.749749749749748,130
ENSG00000119185,S,protein_coding,ITGB1BP1,automatic,1.6823724853428395,0.7285272790035516,14.446446446446446,131
ENSG00000275700,not_assigned,protein_coding,AATF,automatic,1.3138476742723109,0.7267351277042332,21.621621621621625,132
ENSG00000169062,not_assigned,protein_coding,UPF3A,automatic,1.424022302607387,0.7239945250085658,21.133133133133132,133
ENSG00000126261,not_assigned,protein_coding,UBA2,automatic,1.612538183340063,0.7047494444748846,18.394394394394396,135
