,V1,V2,angles,r,assigned_phase,gene_biotype,gene_symbols,peak_times
ENSG00000158402,3.61094740252826,-0.40737095664862,1.6831368679529206,3.6338536349372137,G2/M,protein_coding,CDC25C,22.90789078907891
ENSG00000072571,3.4606275323223197,-0.312036821412904,1.6607208499670696,3.4746668754550756,G2/M,protein_coding,HMMR,22.32703270327033
ENSG00000101868,-2.2087964425627598,2.4722041798608,5.553999534803165,3.315203648586179,S,protein_coding,POLA1,12.95889588958896
ENSG00000066279,3.2815628713419502,-0.279566469784008,1.655784199718833,3.293449906951299,G2/M,protein_coding,ASPM,22.85748574857486
ENSG00000024526,3.1806679377135096,-0.7282611701238829,1.795881354789452,3.2629760743696723,G2/M,protein_coding,DEPDC1,22.38943894389439
ENSG00000117724,3.23906907510346,-0.35473735034361603,1.6798798911295734,3.258436290772062,G2/M,protein_coding,CENPF,22.454245424542457
ENSG00000175063,3.1769838811156,-0.626704691323974,1.765559781899879,3.238207119842061,G2/M,protein_coding,UBE2C,22.543054305430545
ENSG00000123975,2.83503441956959,-1.5347841958061101,2.0669846666686142,3.2238149276657446,M/G1,protein_coding,CKS2,23.08790879087909
ENSG00000092853,-2.88013005122428,1.38911025314105,5.161783216219476,3.1976204289044006,S,protein_coding,CLSPN,14.034203420342035
ENSG00000138778,2.937078810262,-0.8813836099779591,1.8623343230202778,3.066475013044754,G2/M,protein_coding,CENPE,22.951095109510952
ENSG00000178999,2.9691961029573397,-0.762808817148442,1.8222655479734549,3.0656162169026406,G2/M,protein_coding,AURKB,22.946294629462948
ENSG00000145386,2.8963380101577503,0.8386129675418029,1.2889609593533202,3.015301905019433,G2/M,protein_coding,CCNA2,21.676567656765677
ENSG00000143228,2.9379169940614505,0.6100975737923511,1.366043173527126,3.0005958264222095,G2/M,protein_coding,NUF2,22.507050705070508
ENSG00000138764,-0.683628377967581,2.90542952961016,6.052095324717476,2.9847727737121468,S,protein_coding,CCNG2,16.56885688568857
ENSG00000075218,2.94500024281098,-0.194349588841595,1.6366938383398686,2.9514061382398102,G2/M,protein_coding,GTSE1,22.595859585958596
ENSG00000109805,2.93761061792864,0.235312382859532,1.4908636723746733,2.9470202001503343,G2/M,protein_coding,NCAPG,22.67026702670267
ENSG00000134222,2.83843107239552,-0.664272495574621,1.800687007079776,2.9151241656432605,G2/M,protein_coding,PSRC1,22.996699669966997
ENSG00000100297,-2.2102854823370097,1.8570753401254199,5.411164324610986,2.8868825283221504,S,protein_coding,MCM5,14.624662466246626
ENSG00000182481,2.8546860684579,-0.31835860870174104,1.6818588226007853,2.8723831139285947,G2/M,protein_coding,KPNA2,22.543054305430545
ENSG00000088325,2.6799595968624903,-0.943699439580766,1.9093691830440207,2.841258888781593,G2/M,protein_coding,TPX2,22.895889588958898
ENSG00000111665,2.62722201671501,-0.947397150024236,1.9168900039063106,2.792822386938727,G2/M,protein_coding,CDCA3,23.277527752775278
ENSG00000115163,2.6870315737085897,-0.686165923527461,1.8208152347633064,2.77325843597692,G2/M,protein_coding,CENPA,23.03030303030303
ENSG00000126787,2.7558244603101496,-0.212136873233263,1.6476224635720196,2.7639772989351616,G2/M,protein_coding,DLGAP5,21.362136213621365
ENSG00000134690,2.6109187830184304,-0.55353671336151,1.7797113123415764,2.668951064474114,G2/M,protein_coding,CDCA8,23.032703270327033
ENSG00000069482,-2.5692926235591402,-0.628197352227512,4.472591500491669,2.644975708550282,S,protein_coding,GAL,9.735373537353736
ENSG00000136108,2.62139499244279,-0.0036755409370346,1.572198457545494,2.6213975692376987,G2/M,protein_coding,CKAP2,22.495049504950497
ENSG00000123485,2.56758995321323,-0.443639018491572,1.7418912458752789,2.605634998722899,G2/M,protein_coding,HJURP,22.850285028502853
ENSG00000133119,1.2832666664674799,2.24867378983145,0.5185794468304141,2.5890745741174577,G2,protein_coding,RFC3,20.889288928892892
ENSG00000148773,2.2963615964324,-1.1712808496326599,2.042459043550623,2.577823774094297,M/G1,protein_coding,MKI67,23.020702070207022
ENSG00000163535,2.54879731674384,0.163431702151105,1.5067628832646256,2.5540316527225353,G2/M,protein_coding,SGO2,22.305430543054307
ENSG00000006634,2.54113335169796,-0.0669903813138113,1.5971526251875658,2.542016212045131,G2/M,protein_coding,DBF4,22.144614461446146
ENSG00000170312,2.4706969318046,0.5676202604157979,1.3449739874264066,2.5350613580075656,G2/M,protein_coding,CDK1,22.07020702070207
ENSG00000184481,-0.126058705066694,-2.52245440359339,3.19152573446164,2.5256023074369365,G1,protein_coding,FOXO4,8.1992199219922
ENSG00000157456,2.43812504519346,-0.39669483536676003,1.7320878309169807,2.4701863347541764,G2/M,protein_coding,CCNB2,21.61656165616562
ENSG00000117399,2.3961935291712297,-0.563530610474964,1.8017764147034394,2.461566610551979,G2/M,protein_coding,CDC20,22.43984398439844
ENSG00000181061,1.50445698039303,1.91728454332169,0.6653301131224871,2.437082441345302,G2,protein_coding,HIGD1A,19.974797479747977
ENSG00000140350,0.8013952188368081,2.1965463932933402,0.3498365640411562,2.338172439035341,S,protein_coding,ANP32A,20.810081008100813
ENSG00000198860,2.23695155258721,0.6304269456166149,1.2960969024028595,2.324089151126054,G2/M,protein_coding,TSEN15,21.935793579357938
ENSG00000196655,2.29890059331381,-0.19275807865047398,1.654448594372869,2.306967623271642,G2/M,protein_coding,TRAPPC4,21.80618061806181
ENSG00000129195,2.28178099040976,0.286680624659022,1.4458122372546702,2.2997196065499446,G2/M,protein_coding,PIMREG,23.133513351335136
ENSG00000101911,-2.28656720540561,0.10347367579857301,4.757610975341054,2.288907247229492,S,protein_coding,PRPS2,10.383438343834385
ENSG00000154473,2.21814675236611,0.4548519011800589,1.3685407006502175,2.264302379771623,G2/M,protein_coding,BUB3,21.837383738373838
ENSG00000156970,2.25985262574802,-0.0217698784022422,1.5804293465639365,2.259957481393371,G2/M,protein_coding,BUB1B,22.403840384038407
ENSG00000102024,2.12690530099803,0.705298850538235,1.2505993594156692,2.240797319702091,G2,protein_coding,PLS3,21.47014701470147
ENSG00000131013,2.14297084139999,0.6475749111031971,1.2773356106952256,2.2386775767360727,G2,protein_coding,PPIL4,21.263726372637265
ENSG00000144354,-2.18396744220649,0.0276135483437425,4.725032061263831,2.1841420046943125,S,protein_coding,CDCA7,12.493249324932494
ENSG00000167670,-1.64643608620544,1.4254880878967,5.425985835733969,2.177789722331997,S,protein_coding,CHAF1A,14.180618061806182
ENSG00000060339,2.0246929410056898,0.7952345611761821,1.196539952790851,2.175265389015176,G2,protein_coding,CCAR1,21.974197419741976
ENSG00000057608,1.06075584631422,1.88862152708417,0.5117481837749583,2.1661242434485466,G2,protein_coding,GDI2,20.313231323132314
ENSG00000123080,1.96036508121498,-0.9152349014685109,2.0075901327991543,2.163489352068341,M/G1,protein_coding,CDKN2C,22.883888388838887
ENSG00000100526,1.98309783679059,-0.8393560755312859,1.9711880158470914,2.153414881488191,G2/M,protein_coding,CDKN3,22.850285028502853
ENSG00000168496,-1.6320434980924299,1.39302812339534,5.418939472333813,2.1457151097562135,S,protein_coding,FEN1,11.866786678667868
ENSG00000167862,1.60414397031288,-1.4095831586236998,2.2917257500193036,2.135463078249478,M/G1,protein_coding,MRPL58,1.9081908190819084
ENSG00000163605,2.0584791267110902,0.49714710638631204,1.3338223251291934,2.117661814476886,G2/M,protein_coding,PPP4R2,21.954995499549955
ENSG00000198901,1.8940679478304399,0.9455328610330871,1.1077829458138428,2.116961450355681,G2,protein_coding,PRC1,21.311731173117312
ENSG00000132423,2.06504656579314,-0.36880930457878003,1.747529111313038,2.0977220078070222,G2/M,protein_coding,COQ3,21.55895589558956
ENSG00000166803,-1.00252311325882,1.8336579066838,5.782853043121497,2.0898215022729025,S,protein_coding,PCLAF,15.807980798079809
ENSG00000142945,2.0227546279382502,-0.48522088773326794,1.8062290122124436,2.080138359518008,G2/M,protein_coding,KIF2C,22.93909390939094
ENSG00000159055,1.93529868541067,-0.7381082558251459,1.9351595018189431,2.071276128156144,G2/M,protein_coding,MIS18A,21.813381338133816
ENSG00000213551,-1.5878555781336698,1.3017582779771102,5.399099939233667,2.0532559390616996,S,protein_coding,DNAJC9,15.493549354935494
ENSG00000122483,1.9756146915724702,-0.5590432363326879,1.8465586432160908,2.053188435006956,G2/M,protein_coding,CCDC18,22.255025502550257
ENSG00000153048,-1.6057554114832,1.26622269114689,5.380110752575652,2.0449377362362045,S,protein_coding,CARHSP1,14.595859585958596
ENSG00000111875,2.00906063358831,-0.362037629955311,1.7490853456982682,2.0414200633230584,G2/M,protein_coding,ASF1A,21.981398139813983
ENSG00000167900,-1.63739450436391,1.21588595182179,5.351120234137406,2.039470375062779,S,protein_coding,TK1,11.218721872187219
ENSG00000131966,1.93054460668768,0.6509708065093079,1.2455739276607647,2.037342747143511,G2,protein_coding,ACTR10,22.25982598259826
ENSG00000173207,1.9006912720576101,-0.717632429256873,1.9318129120490066,2.0316553879034447,G2/M,protein_coding,CKS1B,23.222322232223224
ENSG00000204209,1.99183292421127,-0.37056837570184403,1.7547372640900079,2.0260106907522286,G2/M,protein_coding,DAXX,23.330333033303333
ENSG00000128944,2.02142246934669,0.0672545926392224,1.537537671463704,2.0225409711080604,G2/M,protein_coding,KNSTRN,22.094209420942097
ENSG00000143753,1.8684939593583403,0.771096004777515,1.1794042256385702,2.0213507178969348,G2,protein_coding,DEGS1,22.360636063606364
ENSG00000049541,-2.0092195064469798,0.21357110266667,4.818286892242995,2.020538453230055,S,protein_coding,RFC2,12.90849084908491
ENSG00000137807,2.00887240154995,-0.19435265714598302,1.6672432982233274,2.018252036057134,G2/M,protein_coding,KIF23,22.754275427542755
ENSG00000116747,1.51283431291733,1.33134981901284,0.849120755029175,2.0152319963035454,G2,protein_coding,TROVE2,22.43024302430243
ENSG00000151893,1.96154130206587,-0.45671440428547494,1.79955509033161,2.0140090185478576,G2/M,protein_coding,CACUL1,23.757575757575758
ENSG00000091640,1.1585228875356202,-1.6414232018093602,2.5269820699649963,2.0090906919255693,G1,protein_coding,SPAG7,0.9696969696969697
ENSG00000103769,1.7337091211826297,0.999594462175356,1.0477873688282529,2.001233720904054,G2,protein_coding,RAB11A,21.952595259525953
ENSG00000101367,1.9719307079437602,-0.334718036650148,1.7389350173375728,2.00013671557484,G2/M,protein_coding,MAPRE1,22.391839183918393
ENSG00000041357,1.41029374322458,1.40002058198932,0.7890536674753936,1.987205593835754,G2,protein_coding,PSMA4,21.18931893189319
ENSG00000113810,1.73900313586833,-0.954707004716228,2.072868933138276,1.9838340080294312,M/G1,protein_coding,SMC4,21.832583258325833
ENSG00000058272,1.91594440019932,0.514437450345156,1.3084799938519762,1.9838066526183333,G2/M,protein_coding,PPP1R12A,21.10771077107711
ENSG00000085231,1.74326056892042,0.903445208863419,1.0926553507825576,1.963458850236239,G2,protein_coding,AK6,21.60696069606961
ENSG00000154001,1.8925429803048999,0.513701403202786,1.3057479719062335,1.961022198740714,G2/M,protein_coding,PPP2R5E,21.882988298829886
ENSG00000138750,1.69420289426951,0.983551658523922,1.044808950080576,1.9590041633279758,G2,protein_coding,NUP54,20.997299729972998
ENSG00000068489,1.8928841519980202,-0.4713072197964871,1.8148231785147222,1.950677038445257,G2/M,protein_coding,PRR11,23.22712271227123
ENSG00000119812,1.92802654211404,-0.23832601697639802,1.693783829529803,1.9427006041755523,G2/M,protein_coding,FAM98A,22.231023102310232
ENSG00000123136,1.82299008082691,-0.665219758611977,1.9206881047306898,1.9405695457883185,G2/M,protein_coding,DDX39A,22.903090309030905
ENSG00000102978,-0.5531147033748129,1.8543565587826,5.993308612623447,1.935090210349237,S,protein_coding,POLR2C,16.300030003000302
ENSG00000185551,1.5571596667631,-1.1436998644325,2.2042892643508307,1.9320444114193358,M/G1,protein_coding,NR2F2,0.36243624362436244
ENSG00000163636,1.84643613922818,-0.5513287819829671,1.8609597455102922,1.9269898396438652,G2/M,protein_coding,PSMD6,23.095109510951097
ENSG00000108055,1.9161850053474,0.198607008643739,1.4675180086156465,1.9264500301333098,G2/M,protein_coding,SMC3,22.334233423342337
ENSG00000131470,-1.72641070668755,0.853161274559002,5.171371449440581,1.9257149551718569,S,protein_coding,PSMC3IP,15.111911191119113
ENSG00000091317,1.84584167687216,0.548134743284915,1.282134038199364,1.9255085543497976,G2/M,protein_coding,CMTM6,20.980498049804982
ENSG00000132661,-1.33365245012271,1.38525302440325,5.516763301989745,1.9229027014741693,S,protein_coding,NXT1,12.747674767476749
ENSG00000276043,-1.1422186154036202,1.5420428183544999,5.6456513005757545,1.91899958807011,S,protein_coding,UHRF1,14.28862886288629
ENSG00000012048,-1.5729575077023898,1.09576950960818,5.320849668959694,1.9170044703193223,S,protein_coding,BRCA1,12.826882688268828
ENSG00000139697,1.90908910420073,-0.136959903005221,1.6424145968643724,1.9139956172387504,G2/M,protein_coding,SBNO1,23.231923192319233
ENSG00000076248,-1.6222513079322698,1.01549405196862,5.271691454740729,1.9138776020612203,S,protein_coding,UNG,14.111011101110112
ENSG00000170759,1.80098807925962,-0.636568983675208,1.9105461415405107,1.9101775133773673,G2/M,protein_coding,KIF5B,22.73747374737474
ENSG00000135334,1.83565962868541,0.46831263420873104,1.3210051104690623,1.8944558574284538,G2/M,protein_coding,AKIRIN2,19.92679267926793
ENSG00000173914,1.6693289603802,0.8933359558706899,1.0794282397343864,1.8933325930790497,G2,protein_coding,RBM4B,22.394239423942395
ENSG00000100219,1.88155182361588,0.122033221380459,1.5060292880258375,1.8855050708159697,G2/M,protein_coding,XBP1,21.633363336333634
ENSG00000137804,1.7780480592046801,0.623551039708684,1.2335032514137618,1.884216229619974,G2,protein_coding,NUSAP1,21.998199819982
ENSG00000167699,1.68352604113291,0.818005617189731,1.118501671268231,1.871735323416909,G2,protein_coding,GLOD4,22.060606060606062
ENSG00000161800,1.86878559312032,-0.0475753495804507,1.5962487253033488,1.8693910791864201,G2/M,protein_coding,RACGAP1,22.060606060606062
ENSG00000144224,1.76437053451193,-0.615264509065771,1.9063269515958625,1.8685699877633317,G2/M,protein_coding,UBXN4,23.32553255325533
ENSG00000242125,-1.46894221128357,-1.1524829741124398,4.0471297581961,1.8670854896628915,S,processed_transcript,SNHG3,8.472847284728473
ENSG00000138029,1.62070725015304,0.9146647339579351,1.05699393325481,1.8609953160190835,G2,protein_coding,HADHB,21.48694869486949
ENSG00000106638,1.79910655620055,-0.457404935888735,1.8197616242049497,1.8563414761134818,G2/M,protein_coding,TBL2,22.660666066606662
ENSG00000054267,1.84517111027194,0.20036880597548298,1.4626292583604887,1.8560183416632026,G2/M,protein_coding,ARID4B,21.6981698169817
ENSG00000158526,-1.04742500559388,1.5288541161267701,5.6825263572580695,1.8532388002470452,S,protein_coding,TSR2,12.906090609060907
ENSG00000117139,1.8431752470723102,0.0709228137240712,1.532336694672022,1.8445392478683156,G2/M,protein_coding,KDM5B,22.084608460846088
ENSG00000163950,-1.1433502795203898,1.43982259798776,5.612057765527865,1.8385698179170613,S,protein_coding,SLBP,13.30933093309331
ENSG00000169696,1.32942827391546,-1.26735276354374,2.332294250085564,1.8367260445553097,M/G1,protein_coding,ASPSCR1,23.812781278127815
ENSG00000111596,1.8116974432729598,-0.29750176522513105,1.73355535964848,1.8359615808272918,G2/M,protein_coding,CNOT2,22.713471347134714
ENSG00000004897,1.8294276175595001,0.152183367607418,1.4878010872291125,1.8357464926470004,G2/M,protein_coding,CDC27,22.94869486948695
ENSG00000114354,1.8281740862512499,-0.0009751483431765769,1.5713297269005149,1.8281743463233706,G2/M,protein_coding,TFG,22.240624062406244
ENSG00000167522,1.68876502019937,-0.6842880890778211,1.9557776647893943,1.8221354182120368,G2/M,protein_coding,ANKRD11,22.797479747974798
ENSG00000168374,0.9024535428533991,1.5732896117578998,0.5207884989652575,1.8137427048713317,G2,protein_coding,ARF4,19.175517551755178
ENSG00000065600,1.5974263716227999,0.816940994030835,1.0980618565475087,1.7942027757430519,G2,protein_coding,TMEM206,20.973297329732976
ENSG00000198843,1.74722446892037,-0.39058701632185205,1.790727477491622,1.7903495642229412,G2/M,protein_coding,SELENOT,22.682268226822686
ENSG00000137575,1.7842165475780298,-0.0555125497227969,1.6018994166390008,1.785079923092518,G2/M,protein_coding,SDCBP,22.0990099009901
ENSG00000163714,1.70670100261025,-0.521545588702554,1.8673708678565113,1.78461147407662,G2/M,protein_coding,U2SURP,22.33663366336634
ENSG00000146007,1.71662500385582,0.48381188812270703,1.2960831277009472,1.783500868222904,G2/M,protein_coding,ZMAT2,20.50765076507651
ENSG00000125871,1.5794109729653,0.8259122541470121,1.088977978721817,1.7823215403157182,G2,protein_coding,MGME1,21.77737773777378
ENSG00000100603,1.3023770431834198,1.21650167100438,0.8194776621648064,1.7821510256338087,G2,protein_coding,SNW1,20.404440444044408
ENSG00000055211,1.14880914712296,1.35798616533014,0.702147032967959,1.7787323805849604,G2,protein_coding,GINM1,20.774077407740776
ENSG00000129460,1.5045165365281101,0.9429136391716879,1.0109596649791597,1.7755720598225622,G2,protein_coding,NGDN,20.60606060606061
ENSG00000116478,1.7453957145258898,0.31576145929586197,1.391821021819171,1.7737281357248618,G2/M,protein_coding,HDAC1,22.38943894389439
ENSG00000181817,-0.7857610459195921,-1.5832792763450398,3.602265515854598,1.7675388788335955,G1,protein_coding,LSM10,9.812181218121813
ENSG00000132478,1.5177595322004802,0.8997013726972809,1.0357006735845493,1.764385603437863,G2,protein_coding,UNK,19.420342034203422
ENSG00000115866,-0.507600429496182,1.68672010660371,5.990866959183397,1.7614434177815477,S,protein_coding,DARS,18.42904290429043
ENSG00000164104,1.6929309535556498,-0.48607378286712394,1.8503948238012786,1.7613298770808374,G2/M,protein_coding,HMGB2,22.86948694869487
ENSG00000189266,1.70517644950303,0.423038482894292,1.327615422312118,1.756868885816259,G2/M,protein_coding,PNRC2,21.25892589258926
ENSG00000008952,1.69891851196777,-0.397986491104415,1.8009056945022512,1.7449118480337014,G2/M,protein_coding,SEC62,22.624662466246626
ENSG00000112983,1.73691686248952,-0.0570325542832694,1.603620045545147,1.7378529567971255,G2/M,protein_coding,BRD8,22.50945094509451
ENSG00000126524,1.6564919928942299,-0.516928604122904,1.8732823333535622,1.7352754548725546,G2/M,protein_coding,SBDS,22.684668466846688
ENSG00000183726,1.71580360819222,-0.249992680722813,1.7154783200346675,1.7339199411450403,G2/M,protein_coding,TMEM50A,22.353435343534354
ENSG00000272886,1.71442227715153,0.23179893765407303,1.4364060022434388,1.7300215293143015,G2/M,protein_coding,DCP1A,21.993399339933994
ENSG00000116209,1.19044971534095,1.25425660707379,0.759304064318837,1.7292571125034022,G2,protein_coding,TMEM59,21.34773477347735
ENSG00000261409,-1.6659817045387801,0.453083617622508,4.977928543782289,1.7264934996737864,S,sense_overlapping,AL035425.3,11.060306030603062
ENSG00000188486,1.5800541844599598,-0.6818323044118629,1.9781803928302302,1.7208911985273851,G2/M,protein_coding,H2AFX,22.73747374737474
ENSG00000164611,1.70444566984709,-0.15819671237709199,1.6633453522319002,1.7117713752915182,G2/M,protein_coding,PTTG1,22.75907590759076
ENSG00000167881,1.70068591413577,0.138600563408343,1.4894791772038913,1.7063243228404528,G2/M,protein_coding,SRP68,21.314131413141315
ENSG00000168298,-1.7047204022078202,0.0687397426531841,4.752690324156918,1.706105741718144,S,protein_coding,HIST1H1E,10.762676267626764
ENSG00000150593,1.6900741918950302,0.224795526796509,1.4385632153283834,1.7049585927456887,G2/M,protein_coding,PDCD4,22.130213021302133
ENSG00000099968,1.70387421769802,-0.0190247883678866,1.5819614689267594,1.7039804260344316,G2/M,protein_coding,BCL2L13,21.17971797179718
ENSG00000168003,1.7011003080180702,0.057709013791852996,1.5368848106957276,1.7020789018761737,G2/M,protein_coding,SLC3A2,23.0975097509751
ENSG00000135900,1.62318555642824,-0.5112491779795441,1.8759267336258814,1.7017952498999447,G2/M,protein_coding,MRPL44,22.12781278127813
ENSG00000138182,1.52687712231402,0.749502691310726,1.114476973871735,1.7009138811027336,G2,protein_coding,KIF20B,21.551755175517552
ENSG00000125304,1.5489092585528001,0.700839877728691,1.1458876174818666,1.7000871817190293,G2,protein_coding,TM9SF2,21.65976597659766
ENSG00000102753,1.68715052199515,0.202493477822006,1.451346707687086,1.6992588067828156,G2/M,protein_coding,KPNA3,21.666966696669668
ENSG00000143751,1.6791773955443998,0.207869219649131,1.4476306356515616,1.6919947807794244,G2/M,protein_coding,SDE2,21.386138613861387
ENSG00000175792,1.20564770119643,1.1834514138019299,0.794688547649456,1.6894210926320359,G2,protein_coding,RUVBL1,20.66846684668467
ENSG00000121067,1.42676093580667,0.904467050517675,1.0058009502537846,1.6892919858378739,G2,protein_coding,SPOP,21.67896789678968
ENSG00000167513,-1.30550216779266,1.06982449241527,5.39889176011524,1.6878567340514787,S,protein_coding,CDT1,13.417341734173418
ENSG00000126653,1.26527193528178,-1.1168062838983202,2.2939489028709223,1.6876520215869373,M/G1,protein_coding,NSRP1,1.1281128112811283
ENSG00000133142,-1.3489238871622198,-1.01054778076147,4.069431404733835,1.6854680271541094,S,protein_coding,TCEAL4,9.344134413441346
ENSG00000161249,-1.6620907408063101,0.24825790218679603,4.860657677763303,1.680528969304682,S,protein_coding,DMKN,10.693069306930694
ENSG00000167118,0.535286589042381,-1.592323396481,2.8172939653371603,1.6798885473118192,G1,protein_coding,URM1,0.38403840384038407
ENSG00000161011,0.62883379557083,1.55694761112912,0.38385434043838174,1.679141985137853,S,protein_coding,SQSTM1,20.301230123012303
ENSG00000090889,1.62239780518955,-0.422074607813265,1.8253093960677258,1.676401387748349,G2/M,protein_coding,KIF4A,23.1983198319832
ENSG00000145817,1.5104597414176002,0.720147000746322,1.1259020638138388,1.6733500330556206,G2,protein_coding,YIPF5,21.194119411941195
ENSG00000215784,1.6350356394391001,0.34368165172964804,1.3636142510291616,1.670765878264111,G2/M,protein_coding,FAM72D,22.250225022502253
ENSG00000185787,0.7831359727771391,1.4743383100457002,0.4882777430590076,1.6694236743038022,G2,protein_coding,MORF4L1,20.10921092109211
ENSG00000135521,1.6587406432906597,-0.17143054692447598,1.6737805209561742,1.6675757716287247,G2/M,protein_coding,LTV1,21.820582058205822
ENSG00000136143,1.5611286035060399,0.574870540406137,1.2179650564177316,1.6636101270765222,G2,protein_coding,SUCLA2,21.22772277227723
ENSG00000102738,1.62248993470267,0.363253781846801,1.3505418712017563,1.662656578562596,G2/M,protein_coding,MRPS31,21.25652565256526
ENSG00000116750,1.3884038396459197,0.9131833090622121,0.9890119968035487,1.661796912349203,G2,protein_coding,UCHL5,21.345334533453347
ENSG00000117054,0.300051173712235,1.6316069902183703,0.1818671575697177,1.658967171880004,S,protein_coding,ACADM,19.59075907590759
ENSG00000149929,1.63581255574276,0.256494043980101,1.4152635519611574,1.6557994782348877,G2/M,protein_coding,HIRIP3,22.915091509150916
ENSG00000107175,1.58947558714324,0.46103253921081605,1.2884897984034043,1.6549875057943852,G2/M,protein_coding,CREB3,20.956495649564957
ENSG00000182944,1.05677122271244,1.26584404153959,0.6956239968372835,1.648977426969341,G2,protein_coding,EWSR1,20.397239723972397
ENSG00000111057,-0.762878681629458,1.45960054612584,5.801572389543368,1.6469419046024514,S,protein_coding,KRT18,13.114911491149115
ENSG00000138279,1.6421006431596101,0.10080376431903598,1.5094861822659338,1.6451917581747404,G2/M,protein_coding,ANXA7,21.94779477947795
ENSG00000134825,-1.5995533279582599,-0.379065439692039,4.479699523468229,1.643855667797895,S,protein_coding,TMEM258,10.743474347434745
ENSG00000136536,1.63304448213393,0.149334637413423,1.4796044116488707,1.6398582605089607,G2/M,protein_coding,MARCH7,22.463846384638465
ENSG00000120053,1.61844268626719,0.240303158292977,1.4233952038785154,1.6361853002081816,G2/M,protein_coding,GOT1,21.261326132613263
ENSG00000206053,-1.24455548980397,-1.06198066985031,4.00598152951439,1.6360688586782992,S,protein_coding,JPT2,9.632163216321633
ENSG00000278845,1.5871137757820202,-0.38909510756999605,1.8112135200426014,1.634112952036048,G2/M,protein_coding,MRPL45,22.461446144614463
ENSG00000143401,1.61871278986833,0.22138311209699998,1.4348746839727902,1.63378137411499,G2/M,protein_coding,ANP32E,21.64776477647765
ENSG00000040275,1.50018308658486,0.643472570630344,1.1656021896849462,1.6323621664412897,G2,protein_coding,SPDL1,22.082208220822086
ENSG00000165671,1.4167431800637,-0.7939576026946579,2.081597012798017,1.6240473863572005,M/G1,protein_coding,NSD1,0.5640564056405641
ENSG00000159259,-1.00295754697813,1.27244195812502,5.615671905255963,1.6201951665887115,S,protein_coding,CHAF1B,13.942994299429945
ENSG00000198492,1.6170266471348997,-0.032395445708019,1.5908276062641264,1.6173511190978158,G2/M,protein_coding,YTHDF2,21.801380138013805
ENSG00000171792,1.5979708660871599,0.21674148601901103,1.4359835823468317,1.612602790716014,G2/M,protein_coding,RHNO1,21.990999099909992
ENSG00000176422,1.55567443324797,0.41167708684185994,1.3120969734871237,1.6092237153646454,G2/M,protein_coding,SPRYD4,22.33903390339034
ENSG00000166275,1.41544907685974,-0.760505942252169,2.063828661077206,1.60681840211766,M/G1,protein_coding,BORCS7,23.72877287728773
ENSG00000144635,1.56946384826997,0.343422171446922,1.3553766330464059,1.6065975099158167,G2/M,protein_coding,DYNC1LI1,20.95889588958896
ENSG00000068912,1.56915207298458,0.34201442743698307,1.3561914328078701,1.6059925581168961,G2/M,protein_coding,ERLEC1,21.503750375037505
ENSG00000138443,1.4663344164791798,-0.6527028574973609,1.9895892388808216,1.6050413206944414,G2/M,protein_coding,ABI2,23.493549354935496
ENSG00000113456,1.35329044533557,0.8555515775307589,1.0070355124547106,1.6010507584870368,G2,protein_coding,RAD1,22.466246624662467
